'uiIndex, szWeaponName, ubWeaponClass, ubWeaponType, ubCalibre, ubReadyTime, ubShotsPer4Turns, ubShotsPerBurst, ubBurstPenalty, ubBulletSpeed, ubImpact, ubDeadliness, bAccuracy, ubMagSize, usRange, usReloadDelay, BurstAniDelay, ubAttackVolume, ubHitVolume, sSound, sBurstSound, sSilencedBurstSound, sReloadSound, sLocknLoadSound, SilencedSound, bBurstAP, bAutofireShotsPerFiveAP, APsToReload, SwapClips, MaxDistForMessyDeath, AutoPenalty, NoSemiAuto, EasyUnjam, APsToReloadManually, ManualReloadSound, nAccuracy, bRecoilX, bRecoilY, ubAimLevels, ubRecoilDelay, Handling, usOverheatingJamThreshold, usOverheatingDamageThreshold, usOverheatingSingleShotTemperature, HeavyGun'
10, Ingram M10 )-|,2,2,3,6, 17.36,NULL,13,22,20,19,0,30,115,200,27,40,3,412,75,111,101,107,157,NULL,5,27,1,7,13,1,NULL,NULL,476,4,5, 11.5,4,NULL,12,3000,3500,75,NULL, 
11, Thompson M1A1,2,3,3,10, 15.15,NULL,8,22,22,21,2,30,155,200,43,40,3,415,76,111,101,107,157,15,3,30,1,7,8,NULL,NULL,NULL,476,19,4, 6.5,4,NULL,9,4000,5000,75,NULL, 
12, Colt M4 Commando,2,6,8,12, 14.53,NULL,11,22,27,28,6,30,315,200,40,85,7,337,32,127,102,108,499,15,3,29,1,7,11,NULL,NULL,NULL,476,63, 1.5,11,4,NULL,9,3700,4700,75,NULL, 
13, HK 53A3,2,6,8,10, 14.53,3,10,22,27,26,6,30,285,200,40,80,7,336,31,127,102,108,499,15,3,31,1,7,10,NULL,NULL,NULL,476,58,2,10,4,NULL,8,4000,4400,70,NULL, 
14, AKS-74U,2,6,7,10, 15.82,NULL,8,22,29,25,5,30,280,200,41,80,7,330,22,127,102,108,157,15,3,34,1,7,8,NULL,NULL,NULL,476,52,2,8,4,NULL,8,6000,5000,70,NULL, 
15, FN P90,2,3,12,7, 17.36,NULL,5,22,24,30,4,50,245,200,33,45,3,328,20,111,101,107,157,NULL,4,50,1,7,5,NULL,NULL,NULL,476,41,3, 3.5,4,NULL,6,5000,6000,75,NULL, 
16, Type 85,2,3,20,10, 15.15,NULL,11,22,25,16,2,30,195,200,40,60,3,362,51,111,101,107,157,15,3,30,1,7,11,NULL,NULL,NULL,476,19, 5.5,9,4,NULL,9,4100,4300,70,NULL, 
17, SKS,3,4,10,12, 12.49,NULL,0,22,35,22,6,10,325,200,100,80,8,303,NULL,NULL,102,108,157,NULL,NULL,33,1,7,0,NULL,NULL,NULL,476,58,NULL,NULL,4,NULL,10,3800,4500,70,NULL, 
18, Dragunov SVD,3,5,24,18, 12.07,NULL,0,22,47,49,8,10,675,200,100,90,8,366,52,127,102,108,157,NULL,NULL,27,1,16,0,NULL,NULL,NULL,476,80,NULL,NULL,5,NULL,12,6500,5500,140,NULL, 
19, M24,3,5,9,18, 12.95,NULL,0,22,45,46,9,5,660,200,100,85,8,322,6,127,102,108,157,NULL,NULL,32,1,16,0,NULL,1,12,477,88,NULL,NULL,5,NULL,12,4000,5000,140,NULL, 
20, Steyr AUG-A2,3,6,8,13, 15.82,NULL,9,22,32,31,7,30,375,200,40,75,7,439,82,127,102,108,157,NULL,3,50,1,7,9,NULL,NULL,NULL,476,70,2, 8.5,4,NULL,9,4200,5300,70,NULL, 
21, HK G41A2,3,6,8,15, 13.96,3,8,22,31,31,7,30,365,200,46,75,7,335,29,127,102,108,499,15,3,31,1,7,8,NULL,NULL,NULL,476,69,2,8,4,NULL,11,4600,5000,70,NULL, 
22, Ruger Mini-14,3,4,8,15, 13.96,NULL,9,22,31,22,7,30,365,200,100,75,7,323,5,NULL,102,108,157,NULL,NULL,31,1,7,9,NULL,NULL,NULL,476,69,3,8,4,NULL,11,4550,5300,70,NULL, 
23, Diemaco C7A2,3,6,8,15, 13.43,NULL,10,22,32,30,7,30,380,200,38,75,7,341,33,127,102,108,499,15,3,29,1,7,10,NULL,NULL,NULL,476,71, 1.5, 9.5,4,NULL,11,4000,5000,75,NULL, 
24, FAMAS G2,3,6,8,13, 15.82,3,9,22,32,29,7,30,385,200,27,75,7,333,26,127,102,108,499,11,4,53,1,7,9,NULL,NULL,NULL,476,69,2, 8.5,4,NULL,9,4000,4500,70,NULL, 
25, AK-74,3,6,7,15, 14.53,NULL,7,22,29,31,6,30,355,200,46,70,7,329,21,127,102,108,157,15,3,34,1,7,7,NULL,NULL,NULL,476,62,2,7,4,NULL,11,7000,6000,70,NULL, 
26, AKM,3,6,10,15, 12.95,NULL,13,22,34,30,6,30,305,200,50,80,8,358,45,127,102,108,157,16,3,34,1,7,13,NULL,NULL,NULL,476,56,3, 12.5,4,NULL,11,7000,6000,70,NULL, 
27, M14,3,6,9,18, 11.67,NULL,19,22,43,39,7,20,630,200,40,85,8,350,42,127,102,108,157,17,3,30,1,13,19,NULL,NULL,NULL,476,74,4,19,4,NULL,12,4000,5000,75,NULL, 
28, FN FAL,3,6,9,18, 11.67,NULL,18,22,43,40,7,20,615,200,43,85,8,347,39,127,102,108,157,17,3,30,1,12,18,NULL,NULL,NULL,476,73,4, 17.5,4,NULL,12,4600,5000,75,NULL, 
29, HK G3A3,3,6,9,18, 11.3,NULL,17,22,41,37,7,20,570,200,50,85,8,348,40,127,102,108,499,25,2,30,1,11,17,NULL,NULL,NULL,476,71,4,17,4,NULL,12,4600,5000,75,NULL, 
30, HK G11,3,6,11,13, 15.15,3,1,23,26,37,7,45,395,200,50,70,7,327,18,127,102,108,499,3,3,45,1,8,5,NULL,NULL,NULL,476,72,2,5,4,3,9,4800,5600,90,NULL, 
31, Remington M870,5,8,5,13, 15.82,NULL,0,22,48,28,1,7,115,200,100,85,8,435,3,NULL,103,109,157,NULL,NULL,49,NULL,7,0,NULL,1,10,481,8,NULL,NULL,3,NULL,9,4000,5000,90,NULL, 
32, SPAS-15,5,8,5,15, 12.95,NULL,0,22,50,28,1,7,115,200,100,85,8,297,3,NULL,103,109,157,NULL,NULL,30,1,7,0,NULL,NULL,NULL,481,13,NULL,NULL,4,NULL,11,4000,5000,90,NULL, 
33, HK CAWS,5,8,6,13, 13.96,NULL,16,22,56,59,3,10,200,200,125,85,8,433,80,127,103,109,157,NULL,1,52,1,7,16,NULL,NULL,NULL,481,32,4, 15.5,4,NULL,9,4800,7600,90,NULL, 
34, FN Minimi,4,7,8,20, 14.53,NULL,4,22,31,49,7,200,370,200,30,75,8,342,34,127,104,110,157,NULL,3,70,1,7,4,1,NULL,NULL,476,69, 1.5,4,5,NULL,14,4200,4700,70,NULL, 
35, RPK-74,3,7,7,16, 15.15,NULL,6,22,30,44,7,45,400,200,50,70,8,332,24,127,102,108,157,NULL,3,34,1,8,6,NULL,NULL,NULL,476,68,2,6,5,NULL,12,9000,8000,70,NULL, 
36, HK 21E,4,7,9,33, 12.07,3,9,22,43,54,7,100,625,200,38,85,9,349,41,127,104,110,157,17,3,70,1,13,9,NULL,NULL,NULL,476,73,3, 8.5,5,NULL,16,8000,9000,70,NULL, 
37, Combat Knife,6,NULL,NULL,NULL,14,NULL,0,NULL,17,5,0,NULL,NULL,200,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4000,5000,120,NULL, 
38, Throwing Knife,6,NULL,NULL,NULL,14,NULL,0,NULL,15,4,0,NULL,200,200,NULL,2,NULL,152,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4000,5000,120,NULL, 
39, A Rock,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,157,NULL,NULL,20,1,7,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4000,5000,120,NULL, 
40, M79 Grenade Launcher,3,NULL,NULL,8,6,NULL,0,30,NULL,35,0,1,350,200,100,40,10,402,NULL,127,NULL,NULL,157,NULL,NULL,20,1,7,0,NULL,NULL,NULL,476,NULL,NULL,NULL,NULL,NULL,5,4000,5000,40,NULL, 
41, M224 Mortar,3,NULL,NULL,NULL,5,NULL,0,30,NULL,100,0,1,1500,200,100,90,10,115,NULL,127,NULL,NULL,157,NULL,NULL,24,1,30,0,NULL,NULL,NULL,476,NULL,NULL,NULL,NULL,NULL,1,4000,5000,40,NULL, 
42, Another Rock,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,157,NULL,NULL,20,1,7,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4000,5000,120,NULL, 
43, Young Male Claws,6,NULL,NULL,NULL,10,NULL,0,NULL,14,1,0,NULL,10,200,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL,157,NULL,NULL,20,1,7,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4000,5000,120,NULL, 
44, Adult Male Claws,6,NULL,NULL,NULL,10,NULL,0,NULL,18,1,0,NULL,10,200,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL,157,NULL,NULL,20,1,7,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4000,5000,120,NULL, 
45, Young Female Claws,6,NULL,NULL,NULL,10,NULL,0,NULL,20,1,0,NULL,10,200,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL,157,NULL,NULL,20,1,7,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4000,5000,120,NULL, 
46, Adult Female Creature Claws,6,NULL,NULL,NULL,10,NULL,0,NULL,24,1,0,NULL,10,200,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL,157,NULL,NULL,20,1,7,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4000,5000,120,NULL, 
47, Queen Tentacle,6,NULL,NULL,NULL,10,NULL,0,NULL,20,1,0,NULL,70,200,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL,157,NULL,NULL,20,1,7,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4000,5000,120,NULL, 
48, Queen Creature Spit,7,NULL,13,NULL,10,NULL,0,250,20,1,6,50,300,200,100,10,5,175,NULL,111,NULL,NULL,175,20,NULL,20,1,8,0,NULL,NULL,NULL,NULL,60,NULL,NULL,NULL,NULL,NULL,4000,5000,120,NULL, 
49, Knuckle Dusters,6,NULL,NULL,NULL,15,NULL,0,NULL,14,1,0,NULL,NULL,200,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4000,5000,120,NULL, 
50, Talon Grenade Launcher,3,NULL,NULL,5, 5.83,NULL,0,30,NULL,60,0,1,300,200,100,40,10,113,NULL,127,NULL,NULL,157,NULL,NULL,32,1,7,0,NULL,NULL,NULL,476,NULL,NULL,NULL,NULL,NULL,3,4000,5000,40,NULL, 
51, M72A4 LAW,3,NULL,NULL,NULL,5,NULL,0,30,90,85,2,1,250,200,100,100,10,428,NULL,127,NULL,NULL,157,NULL,NULL,NULL,NULL,7,0,NULL,NULL,NULL,476,20,NULL,NULL,2,NULL,8,4000,5000,4000,NULL, 
52, Bloodcat Claws,6,NULL,NULL,NULL,14,NULL,0,NULL,12,1,0,NULL,10,200,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL,157,NULL,NULL,20,1,7,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4000,5000,120,NULL, 
53, Bloodcat Bite,6,NULL,NULL,NULL,10,NULL,0,NULL,24,1,0,NULL,10,200,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL,157,NULL,NULL,20,1,7,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4000,5000,120,NULL, 
54, Machete,6,NULL,NULL,NULL,11,NULL,0,NULL,25,6,0,NULL,NULL,200,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4000,5000,120,NULL, 
55, Rocket Rifle,3,4,14,15, 13.96,NULL,0,20,50,57,7,5,450,200,100,80,10,111,10,127,102,108,157,NULL,NULL,27,1,9,0,NULL,NULL,NULL,476,73,NULL,NULL,4,NULL,11,4000,5000,300,NULL, 
56, Automag III Custom,1,1,38,6, 16.55,NULL,0,21,40,20,2,4,150,200,100,75,7,291,NULL,NULL,100,106,157,NULL,NULL,36,1,7,0,NULL,NULL,NULL,476,20,NULL,NULL,3,NULL,13,3700,4200,80,NULL, 
57, Infant Spit,7,NULL,13,NULL,13,NULL,0,250,12,1,4,5,200,200,100,10,5,175,NULL,111,NULL,NULL,175,20,NULL,20,1,7,0,NULL,NULL,NULL,NULL,40,NULL,NULL,NULL,NULL,NULL,4000,5000,120,NULL, 
58, Young Male Spit,7,NULL,13,NULL,10,NULL,0,250,16,1,4,10,200,200,100,10,5,175,NULL,111,NULL,NULL,175,20,NULL,20,1,7,0,NULL,NULL,NULL,NULL,40,NULL,NULL,NULL,NULL,NULL,4000,5000,120,NULL, 
59, Old Male Spit,7,NULL,13,NULL,10,NULL,0,250,20,1,4,20,200,200,100,10,5,175,NULL,111,NULL,NULL,175,20,NULL,20,1,7,0,NULL,NULL,NULL,NULL,40,NULL,NULL,NULL,NULL,NULL,4000,5000,120,NULL, 
60, Tank Cannon,3,NULL,14,NULL, 10.12,NULL,0,30,80,80,8,1,800,200,100,90,10,153,NULL,111,NULL,NULL,157,20,NULL,20,1,16,0,NULL,NULL,NULL,NULL,85,NULL,NULL,NULL,NULL,1,4000,5000,1000,NULL, 
61, Dart Gun,1,1,15,7, 18.25,NULL,0,21,2,2,4,1,100,200,100,NULL,NULL,NULL,NULL,111,100,106,157,NULL,NULL,16,1,7,0,NULL,1,NULL,476,40,NULL,NULL,3,NULL,10,3000,5000,30,NULL, 
62, Bloody Throwing Knife,6,NULL,NULL,NULL,14,NULL,0,NULL,15,4,0,NULL,200,200,NULL,2,NULL,152,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4000,5000,120,NULL, 
63, Flamethrower,3,4,16,13, 14.05,NULL,0,22,60,47,3,NULL,180,200,100,70,8,427,NULL,111,103,109,157,20,NULL,80,1,7,0,NULL,1,NULL,NULL,33,NULL,NULL,4,NULL,10,6000,3800,1200,NULL, 
64, Crowbar,6,NULL,NULL,NULL,10,NULL,0,NULL,22,4,0,NULL,NULL,200,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4000,5000,120,NULL, 
65, Auto Rocket Rifle,3,4,14,15, 13.96,5,8,20,50,63,7,5,450,200,100,80,10,111,10,127,102,108,157,20,NULL,27,1,9,8,NULL,NULL,NULL,476,73,2, 7.5,4,NULL,11,4000,5000,300,NULL, 
66, Modified EMF Hartford 6 Shooter,1,1,4,8, 18.25,NULL,0,20,30,17,3,6,170,200,100,60,3,423,NULL,NULL,100,106,157,NULL,NULL,32,1,7,0,NULL,1,8,480,29,NULL,NULL,3,NULL,10,4000,4500,70,NULL, 
67, Calico M-950,1,1,2,8, 15.82,NULL,0,21,26,18,2,50,150,200,100,50,3,369,55,62,100,106,156,NULL,NULL,35,1,7,0,NULL,NULL,NULL,476,20,NULL,NULL,3,NULL,14,4000,5000,60,NULL, 
68, Calico M-900,3,4,2,10, 15.82,NULL,5,22,27,17,4,50,240,200,100,50,3,369,55,111,102,108,156,NULL,NULL,35,1,7,5,NULL,NULL,NULL,476,40,1,5,4,NULL,10,4000,5000,60,NULL, 
69, Calico M-960A,2,3,2,9, 15.82,NULL,8,22,26,24,3,50,210,200,40,50,3,369,55,111,101,107,156,14,3,35,1,7,8,NULL,NULL,NULL,476,33, 4.5,7,4,NULL,9,4000,5000,70,NULL, 
297, Retractable Baton,6,NULL,NULL,NULL,16,NULL,0,NULL,15,4,0,NULL,NULL,200,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4000,5000,120,NULL, 
298, Nightstick,6,NULL,NULL,NULL,13,NULL,0,NULL,16,5,0,NULL,NULL,200,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4000,5000,120,NULL, 
299, Utility Knife,6,NULL,NULL,NULL,15,NULL,0,NULL,10,4,0,NULL,NULL,200,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4000,5000,120,NULL, 
300, Light Knife,6,NULL,NULL,NULL,18,NULL,0,NULL,13,4,0,NULL,NULL,200,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4000,5000,120,NULL, 
301, Exacto Knife,6,NULL,NULL,NULL,22,NULL,0,NULL,9,2,0,NULL,NULL,200,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4000,5000,120,NULL, 
330, Micro-Uzi )-|,2,2,2,4, 17.36,NULL,16,22,25,15,1,30,140,200,24,50,3,372,58,111,101,107,156,NULL,5,23,1,7,16,NULL,NULL,NULL,476,6,5, 15.5,4,NULL,9,3100,3600,70,NULL, 
331, Enfield L85A2,3,6,8,13, 15.82,NULL,9,22,32,30,7,30,380,200,46,75,7,343,35,127,102,108,499,NULL,3,53,1,8,9,NULL,NULL,NULL,476,71,2, 8.5,4,NULL,9,4000,5000,70,NULL, 
332, Tavor TAR 21,3,6,8,13, 15.82,NULL,9,22,31,30,7,30,365,200,33,75,7,344,36,127,102,108,499,NULL,4,53,1,7,9,NULL,NULL,NULL,476,69,2,9,4,NULL,9,4000,5000,70,NULL, 
333, VSS Vintorez,3,5,18,14, 13.43,NULL,11,22,37,42,4,20,225,200,34,60,8,385,70,71,102,108,386,11,4,25,1,8,11,NULL,NULL,NULL,476,42,3, 10.5,4,NULL,11,7000,6000,65,NULL, 
334, HK PSG1,3,5,9,20, 11.67,NULL,0,22,45,50,8,20,685,200,100,85,8,320,NULL,NULL,102,108,157,NULL,NULL,30,1,16,0,NULL,NULL,NULL,476,84,NULL,NULL,5,NULL,13,3500,5500,130,NULL, 
335, Barrett M82A2,3,5,17,30, 7.57,NULL,0,22,140,74,9,10,900,200,100,110,10,419,NULL,NULL,102,108,157,NULL,NULL,53,1,20,0,NULL,NULL,NULL,476,89,NULL,NULL,5,NULL,18,4000,5000,280,NULL, 
336, SIG P226R,1,1,2,4, 24.53,NULL,0,21,22,15,0,15,110,200,100,50,3,367,1,111,100,106,156,NULL,NULL,23,1,7,0,NULL,NULL,NULL,476,5,NULL,NULL,3,NULL,9,3500,4000,70,NULL, 
337, FN Five-seveN,1,1,12,4, 26.34,NULL,0,21,26,22,1,20,130,200,100,45,3,293,NULL,NULL,100,106,157,NULL,NULL,25,1,7,0,NULL,NULL,NULL,476,7,NULL,NULL,3,NULL,9,3500,4000,75,NULL, 
338, MP-443 Grach,1,1,2,4, 24.53,NULL,0,21,25,14,0,18,110,200,100,50,3,367,NULL,111,100,106,156,NULL,NULL,25,1,7,0,NULL,NULL,NULL,476,5,NULL,NULL,3,NULL,9,3500,4000,70,NULL, 
339, MP-446 Viking,1,1,2,4, 24.53,NULL,0,21,25,14,0,18,110,200,100,45,3,367,NULL,111,100,106,156,NULL,NULL,25,1,7,0,NULL,NULL,NULL,476,5,NULL,NULL,3,NULL,9,3500,4000,70,NULL, 
340, Saiga 12K,5,8,5,15, 12.95,NULL,0,22,49,27,1,7,120,200,100,85,8,435,3,127,103,109,157,NULL,NULL,30,1,7,0,NULL,NULL,NULL,481,12,NULL,NULL,3,NULL,11,7000,6000,90,NULL, 
341, Benelli M3 Convertible,5,8,5,13, 12.95,NULL,0,22,51,30,1,7,115,200,100,85,8,297,3,127,103,109,157,NULL,NULL,49,NULL,7,0,NULL,NULL,NULL,481,14,NULL,NULL,3,NULL,10,4000,5000,90,NULL, 
342, HK MP5A4,2,3,2,8, 15.82,3,8,22,26,18,2,30,170,200,38,50,3,374,60,62,101,107,376,14,3,33,1,7,8,NULL,NULL,NULL,476,23, 4.5, 6.5,4,NULL,8,4000,5000,60,NULL, 
343, HK MP5N,2,3,2,8, 15.82,NULL,7,22,26,19,2,30,170,200,38,50,3,374,60,62,101,107,376,14,3,28,1,7,7,NULL,NULL,NULL,476,23,4,6,4,NULL,8,4000,5000,60,NULL, 
344, HK MP5SD5,2,3,2,8, 15.82,3,7,22,25,21,1,30,135,200,38,50,3,376,62,62,101,107,376,14,3,33,1,7,7,NULL,NULL,NULL,476,14,4, 5.5,4,NULL,8,4000,5000,70,NULL, 
345, Uzi,2,3,2,7, 16.55,NULL,7,22,26,18,2,30,180,200,50,50,3,379,64,111,101,107,156,NULL,3,27,1,7,7,NULL,NULL,NULL,476,24,4,6,4,NULL,11,4000,5000,70,NULL, 
346, Colt 9mm SMG,2,3,2,11, 15.15,NULL,8,22,26,17,3,30,180,200,33,50,7,374,60,111,101,107,156,11,4,28,1,7,8,NULL,NULL,NULL,476,27,4, 6.5,4,NULL,9,3800,4800,75,NULL, 
347, AK-47,3,6,10,15, 12.49,NULL,13,22,34,30,5,30,300,200,50,80,8,358,45,127,102,108,157,16,3,34,1,7,13,NULL,NULL,NULL,476,55,3,13,4,NULL,11,7000,6000,70,NULL, 
348, HK SL8,3,4,8,15, 13.96,NULL,9,22,32,35,7,10,375,200,100,70,7,334,28,127,102,108,157,15,NULL,28,1,8,9,NULL,NULL,NULL,476,71,2,9,4,NULL,10,4000,5000,70,NULL, 
349, Vikhr SR-3M Compact,2,6,18,13, 13.43,NULL,9,22,36,29,4,30,190,200,33,60,8,383,68,69,102,108,384,11,4,34,1,7,9,NULL,NULL,NULL,476,38,3,9,4,NULL,10,6000,5000,70,NULL, 
350, SIG SG540,3,6,8,17, 13.96,NULL,10,22,31,30,7,30,365,200,38,70,7,341,33,127,102,108,499,15,3,31,1,7,10,NULL,NULL,NULL,476,69,2,10,4,NULL,12,7000,6000,70,NULL, 
397, FN Browning HP-35,1,1,2,4, 24.53,NULL,0,21,25,16,1,15,115,200,100,50,3,367,NULL,111,100,106,157,NULL,NULL,25,1,7,0,NULL,NULL,NULL,476,7,NULL,NULL,3,NULL,9,3500,4000,70,NULL, 
593, Ka-Bar Cutlass,6,NULL,NULL,NULL,12,NULL,0,NULL,20,6,0,NULL,NULL,200,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4000,5000,120,NULL, 
594, KCB Knife,6,NULL,NULL,NULL,14,NULL,0,NULL,16,5,0,NULL,NULL,200,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4000,5000,120,NULL, 
595, SOG Seal 2000,6,NULL,NULL,NULL,15,NULL,0,NULL,18,5,0,NULL,NULL,200,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4000,5000,120,NULL, 
596, Heavy Throwing Knife,6,NULL,NULL,NULL,12,NULL,0,NULL,22,5,0,NULL,150,200,NULL,2,NULL,152,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4000,5000,120,NULL, 
